sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-12-23T23Z,temperatur_2018-12-24T00Z,temperatur_2018-12-24T01Z,temperatur_2018-12-24T02Z,temperatur_2018-12-24T03Z,temperatur_2018-12-24T04Z,temperatur_2018-12-24T05Z,temperatur_2018-12-24T06Z,temperatur_2018-12-24T07Z,temperatur_2018-12-24T08Z,temperatur_2018-12-24T09Z,temperatur_2018-12-24T10Z,temperatur_2018-12-24T11Z,temperatur_2018-12-24T12Z,temperatur_2018-12-24T13Z,temperatur_2018-12-24T14Z,temperatur_2018-12-24T15Z,temperatur_2018-12-24T16Z,temperatur_2018-12-24T17Z,temperatur_2018-12-24T18Z,temperatur_2018-12-24T19Z,temperatur_2018-12-24T20Z,temperatur_2018-12-24T21Z,temperatur_2018-12-24T22Z,temperatur_2018-12-24T23Z,temperatur_2018-12-25T00Z
5a0c347b9fd3c2001111b708,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,°C,6.069333333333334,5.978666666666667,6.202833333333333,6.497833333333333,6.593500000000001,6.552666666666666,6.451666666666667,5.8581666666666665,5.197500000000001,4.3075,4.394,4.726166666666667,5.1645,5.457333333333334,5.6401666666666666,5.381166666666667,5.4965,5.381333333333333,5.434,5.398,5.414166666666666,5.550166666666667,5.548500000000001,5.504833333333334,5.283,5.201333333333333
5a153fd319991f00113493a9,51.953044,7.637048,Fühlerbüchse,5a153fd319991f00113493a2,°C,7.382000000000001,7.092666666666667,7.335,7.640666666666666,7.751833333333334,7.679833333333334,7.5375,6.845666666666667,6.313999999999999,5.498333333333333,5.485689655172414,5.9399999999999995,7.1066666666666665,7.6881355932203395,7.552666666666667,9.997000000000002,7.120666666666667,6.324833333333333,6.2495,6.2585,6.2428333333333335,6.362033898305085,6.304666666666667,6.219661016949153,6.082,5.915333333333334
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,°C,6.9295,6.825833333333334,7.0391666666666675,7.3145,7.441666666666666,7.344333333333333,7.2835,6.664333333333333,6.110833333333333,5.3975,7.748,5.8935,6.656000000000001,7.854833333333334,7.132499999999999,6.497333333333333,6.5504999999999995,6.385833333333333,6.2556666666666665,6.295166666666666,6.31949152542373,6.487666666666667,6.465166666666666,6.322166666666666,6.215166666666667,6.065166666666666
5a687677411a79001944413a,51.959126,7.605076,AFO Uni Münster,5a687677411a790019444133,°C,7.054,6.923666666666667,7.156499999999999,7.4515,7.577,7.517666666666667,7.425166666666667,6.710666666666667,6.101,5.388166666666667,5.3774999999999995,5.840999999999999,6.581333333333333,7.1978333333333335,7.236000000000001,7.1105,6.789666666666666,6.463333333333334,6.462666666666666,6.5715,6.596333333333333,6.861666666666666,6.934833333333333,6.566833333333333,6.539833333333333,6.4775
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,°C,7.123833333333334,6.966166666666666,7.2295,7.4463333333333335,7.501833333333334,7.492500000000001,7.394,6.697166666666666,5.971166666666666,5.249666666666667,5.347333333333333,5.5365,6.2915,6.811166666666667,6.5056666666666665,6.2255,6.0848148148148145,5.85173076923077,5.8984745762711865,6.017916666666667,6.078166666666666,6.174166666666666,6.182333333333333,6.0135,5.8774999999999995,5.867500000000001
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,°C,,,,,,,,,6.28625,5.569047619047619,5.5980952380952385,6.198333333333333,6.8307142857142855,7.276829268292683,7.173571428571429,6.845365853658537,7.013571428571429,7.122857142857144,6.964285714285714,6.823571428571428,6.903658536585366,7.0426190476190484,7.228333333333333,7.161951219512194,,
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,17.3875,17.008333333333333,17.0375,16.9375,16.916666666666668,16.825,16.854166666666668,17.058333333333334,16.83478260869565,16.708333333333332,18.266666666666666,18.162499999999998,18.025000000000002,17.3625,17.12,16.68,16.650000000000002,16.258333333333333,16.979166666666668,16.979166666666668,16.92083333333333,17.104166666666668,16.900000000000002,17.091666666666665,16.925,16.983333333333334
5ac9be65c4edec00190439f1,51.976309,7.626046,PGKN FS01 - Schule,5ac9be65c4edec00190439ef,°C,6.254545454545454,6.154545454545455,6.447619047619048,6.713636363636363,6.845454545454545,6.790909090909091,6.733333333333333,6.019047619047619,5.254545454545455,4.110526315789474,4.122727272727273,4.627272727272727,5.510526315789474,6.183333333333334,6.195833333333333,5.620833333333334,5.928000000000001,6.05,5.9624999999999995,6.137499999999999,6.208333333333333,6.279166666666666,6.266666666666667,6.216666666666666,5.995833333333334,6.029166666666666
5ac9edb1c4edec00190b2147,51.980717,7.65084,PGKN FS02 - Rumphorst,5ac9edb1c4edec00190b2145,°C,6.073333333333333,6.066666666666666,6.288235294117648,6.526315789473684,6.58125,6.463157894736842,6.345000000000001,5.7875,5,4.14,4.1,4.7,5.333333333333333,,,5.7,,5.875,5.8428571428571425,5.9,5.9625,6.057142857142857,6.044444444444444,6.014285714285714,5.839285714285714,5.8961538461538465
5acfae2a223bd8001977b620,51.988501,7.646677,PGKN FS03,5acfae2a223bd8001977b61e,°C,5.783333333333334,5.695833333333333,5.856,6.1000000000000005,6.195833333333334,6.145833333333333,6.06,5.495833333333334,4.795833333333333,4.016666666666667,4.254166666666666,4.872,5.091666666666666,5.495833333333334,5.691666666666666,5.3374999999999995,5.104166666666667,5.112,5.133333333333334,5.083333333333333,5.170833333333333,5.287999999999999,5.2250000000000005,5.104166666666667,4.970833333333333,4.95
5ae36891223bd8001972fb54,51.957807,7.642804,PGKN FS05,5ae36891223bd8001972fb52,°C,6.390476190476191,6.139130434782608,6.378947368421053,6.663636363636363,6.777272727272727,6.69,6.6863636363636365,6.077272727272727,5.381818181818182,4.595454545454545,4.555,5.023809523809524,5.463157894736842,5.854545454545455,6.076190476190476,5.74,5.868181818181818,5.913043478260869,5.759090909090909,5.75625,5.886363636363637,5.842857142857143,5.943478260869565,5.922727272727273,5.6380952380952385,5.619047619047619
